	Solar power	Clear sky
0	0.0	0.0
1	0.0	0.0
2	0.0	0.0
3	0.0	0.0
4	0.0	0.0
5	0.0	0.0
6	0.0	0.0
7	0.0	0.0
8	0.0	0.0
9	0.0	0.0
10	0.0	0.0
11	286.36433848061154	258.4569757920362
12	608.9154043954247	651.4863324836364
13	715.6650913116454	798.4069552277862
14	779.0076310686915	866.9575829219856
15	839.4922480024841	902.1321338115738
16	866.6840055452726	918.90719704986
17	880.6664427075174	922.7778109918097
18	861.0788338698708	914.8762001395337
19	827.8912275775097	892.8481844269043
20	753.5785322865183	848.9661418681771
21	662.7351342249891	761.67834470344
22	433.0882774122317	563.5075282065287
23	0.0	54.401557805874646
24	0.0	0.0
25	0.0	0.0
26	0.0	0.0
27	0.0	0.0
28	0.0	0.0
29	0.0	0.0
30	0.0	0.0
31	0.0	0.0
32	0.0	0.0
33	0.0	0.0
34	0.0	0.0
35	303.22837690516485	270.8249800403378
36	615.4346526085803	655.4897929291786
37	720.5124142546487	799.9322593418065
38	790.3566353643454	867.6018914612936
39	678.9885759584301	902.3881522989436
40	708.676404661325	918.9772421653729
41	718.0292009289617	922.7693438357899
42	695.1664207476089	914.8682762646878
43	657.8132978578166	892.930660634341
44	588.5061281399455	849.2976695460663
45	148.91881172284243	762.6629899852348
46	67.6319008195479	566.6038177792669
47	0.0	60.03893319272519
48	0.0	0.0
49	0.0	0.0
50	0.0	0.0
51	0.0	0.0
52	0.0	0.0
53	0.0	0.0
54	0.0	0.0
55	0.0	0.0
56	0.0	0.0
57	0.0	0.0
58	0.0	0.0
59	269.0125961321568	282.87241271280476
60	495.58286192958053	659.3595473051436
61	557.4746929884607	801.4042214957228
62	602.8440873281394	868.2172303437773
63	687.9458305750193	902.6250160208947
64	714.182765928642	919.0327153492312
65	719.8650333397168	922.7484313039279
66	673.8407565921168	914.8484861785684
67	627.1432971438645	893.0003707299771
68	551.4426300747784	849.6131601463243
69	462.52053323238897	763.6221931955796
70	307.8671869420922	569.6390437943572
71	0.0	65.89467706343096
72	0.0	0.0
73	0.0	0.0
74	0.0	0.0
75	0.0	0.0
76	0.0	0.0
77	0.0	0.0
78	0.0	0.0
79	0.0	0.0
80	0.0	0.0
81	0.0	0.0
82	0.0	0.0
83	199.56396340185626	294.58903789350825
84	296.73025159742053	663.0988684989126
85	340.670105847331	802.8238414718613
86	392.1314247516455	868.8041277941671
87	963.5668894594334	902.8431282996509
88	984.3419172071709	919.0739876580094
89	989.2002706219239	922.7154483822468
90	954.1785488793865	914.8172330161618
91	900.1409867133711	893.0577758275614
92	819.6153322595969	849.9131903523503
93	714.2831710949732	764.5568044870384
94	480.49036470159336	572.6149258075036
95	0.0	71.9501848693553
96	0.0	0.0
97	0.0	0.0
98	0.0	0.0
99	0.0	0.0
100	0.0	0.0
101	0.0	0.0
102	0.0	0.0
103	0.0	0.0
104	0.0	0.0
105	0.0	0.0
106	0.0	0.0
107	207.20925731165053	305.96784820396175
108	353.6330333408876	666.7109152308568
109	431.82034674293254	804.1920928771484
110	494.25562785903867	869.3631044018052
111	449.94219947332346	903.0428908560857
112	471.86435432205326	919.1014317315959
113	471.9430831337346	922.670774187815
114	440.71420217863033	914.774926869086
115	390.56565737625397	893.1033479202796
116	322.24365326626406	850.1983541517847
117	233.6562232555266	765.4677034724813
118	125.60359403451639	575.5332470106068
119	0.0	78.18696894328019
120	0.0	0.0
121	0.0	0.0
122	0.0	0.0
123	0.0	0.0
124	0.0	0.0
125	0.0	0.0
126	0.0	0.0
127	0.0	0.0
128	0.0	0.0
129	0.0	0.0
130	0.0	0.0
131	191.83456954659547	317.0045602313915
132	271.74010481671394	670.198739048599
133	337.9985369076576	805.5099255538167
134	396.72960360018743	869.894674306562
135	817.9717404830988	903.2247045789675
136	848.1376393140772	919.1154223763631
137	852.7929445361785	922.614792479751
138	822.1900854612392	914.7219852913137
139	771.9877609268437	893.1375704417234
140	695.7077820110945	850.469263522499
141	603.7414516278661	766.3558001686906
142	442.04008776751004	578.3958547657289
143	0.0	84.58693145901628
144	0.0	0.0
145	0.0	0.0
146	0.0	0.0
147	0.0	0.0
148	0.0	0.0
149	0.0	0.0
150	0.0	0.0
151	0.0	0.0
152	0.0	0.0
153	0.0	0.0
154	0.0	0.0
155	217.59950235617245	327.69719286351716
156	297.65827725542596	673.565296675673
157	354.10407236518927	806.7782703165502
158	408.1228205502564	870.3993474644132
159	774.1917155289134	903.3889706969818
160	799.7395643139164	919.1163371005464
161	804.9703209885422	922.5478917050838
162	779.3828821861468	914.6588328480952
163	731.1586072520829	893.1609371488441
164	662.69228268123	850.7265461557682
165	572.4542533082191	767.22203005658
166	122.87854855077182	581.2046468904321
167	0.0	91.1325615324591
