,Clear Sky,DHI,DNI,Output power,day,month,year,hour
0,914.7032925207225,219.14079966176985,584.5652943883114,6211.8108842624715,28.0,5.0,2019.0,20.0
1,907.8405508868109,222.0038218174969,562.3444407495778,6215.219816329104,28.0,5.0,2019.0,21.0
2,889.8825694227841,217.9190471414623,548.7420110998977,5957.974618752503,28.0,5.0,2019.0,22.0
3,855.6932062707975,208.49623131738636,519.2064644478954,5318.812057391837,28.0,5.0,2019.0,23.0
4,792.3399849563879,168.80209347737207,537.9874036295744,4584.672223428211,29.0,5.0,2019.0,0.0
5,665.6288222138888,128.72576979501693,436.7904514364546,3048.3270737617054,29.0,5.0,2019.0,1.0
6,357.88608842238676,34.284808811330194,235.7945420157329,988.1760382480004,29.0,5.0,2019.0,2.0
7,0.0,5.535271631678672,0.0,43.05963777019991,29.0,5.0,2019.0,3.0
8,0.0,5.558695490931694,0.0,43.24185518638648,29.0,5.0,2019.0,4.0
9,0.0,5.604986590328441,0.0,43.601960002309255,29.0,5.0,2019.0,5.0
10,0.0,4.622862240397943,0.0,35.96187988207221,29.0,5.0,2019.0,6.0
11,0.0,4.614048421218074,0.0,35.95148990481023,29.0,5.0,2019.0,7.0
12,0.0,4.680493127678066,0.0,36.469210131268945,29.0,5.0,2019.0,8.0
13,0.0,4.73393424910288,0.0,36.88560973569675,29.0,5.0,2019.0,9.0
14,0.0,4.7979307007852325,0.0,37.38425378460216,29.0,5.0,2019.0,10.0
15,0.0,4.795818750812889,0.0,37.42826370099091,29.0,5.0,2019.0,11.0
16,0.0,4.858441906251292,0.0,37.916996928271324,29.0,5.0,2019.0,12.0
17,59.549866075760036,25.93891899577981,0.0,202.43648701864115,29.0,5.0,2019.0,13.0
18,536.4144779079122,92.07478337740305,162.92147768337773,591.8725544880053,29.0,5.0,2019.0,14.0
19,735.7380798122978,185.25417789195996,259.5958314357202,1702.8704163189877,29.0,5.0,2019.0,15.0
20,826.2097269420304,235.4908987191415,314.0540431986747,2705.224568432488,29.0,5.0,2019.0,16.0
21,873.6499261542939,261.11229827877816,347.08318935099163,3570.816121672378,29.0,5.0,2019.0,17.0
22,899.4482090491535,201.477923059476,610.8234979516288,5153.818390540491,29.0,5.0,2019.0,18.0
23,911.9577419934556,203.5831259682838,620.2354151970413,5919.616658883225,29.0,5.0,2019.0,19.0
24,914.4907418424323,203.7367718580247,621.131157421626,6374.446993728291,29.0,5.0,2019.0,20.0
