	DNI	DHI	Clear_Sky	pvwatts
0	773.4297558230301	122.29825920332995	854.0844720174275	3339.603376893123
1	515.3545276136044	171.50901183821992	780.2848402183427	2224.651156592255
2	416.77531356519273	116.42086984158414	624.0784797343879	1260.1021836304328
3	210.050047278906	9.22919613470633	215.25423312513186	153.90529200664432
4	0.0	0.5867941119048199	0.0	3.017099725377282
5	0.0	0.5576436879589419	0.0	2.871864992988551
6	0.0	0.5830420072495561	0.0	3.0026663373352145
7	0.0	-0.890939455611546	0.0	-4.588338196399462
8	0.0	-0.8448322256599516	0.0	-4.3579262306959174
9	0.0	-0.9112063311582146	0.0	-4.700305991557791
10	0.0	-0.9112063311582146	0.0	-4.700305991557791
11	0.0	-0.8977930346637133	0.0	-4.63859734576252
12	0.0	-0.8977930346637133	0.0	-4.63859734576252
13	0.0	-0.7023266054552921	0.0	-3.6286874615190094
14	0.0	-0.7023266054552921	0.0	-3.6286874615190094
15	249.7519439033714	72.4517405365068	462.0300354201899	631.4892387044695
16	340.46938868398297	177.15576340130784	715.0410115334547	1627.3795813236661
17	397.51722032205424	219.93413566119477	821.5727348875961	2352.3400662881527
18	428.91311873781035	241.05669694180494	875.1997726436406	2899.3786203794725
19	660.3580634884057	186.09228266636936	903.7083322707446	3913.351498114157
20	674.3073417496241	187.99877158712837	917.337513044498	4215.961785438683
21	676.1186172252382	188.9194087057872	920.0117068101255	4286.938615003797
22	668.6539141906283	187.256421410651	912.4352040022992	4103.379969424016
23	649.5751448487542	184.16279893915961	892.5679887185476	3689.5001112113887
24	613.16065839214	177.70054022653045	854.1831320913218	3067.172134530167
25	542.1177899977608	164.8261660206738	780.8730194019736	2265.2395826466377
26	440.8778800452313	112.58058242069468	626.1242348874704	1283.3446132316035
27	230.18489553928555	3.215043397350811	222.1232894616416	135.9573074970567
28	0.0	1.1568629189740378	0.0	5.948203508391511
29	0.0	1.1371750375650824	0.0	5.856451443460174
30	0.0	1.1371750375650824	0.0	5.856451443460174
31	0.0	-1.0332383268176109	0.0	-5.3211773831106965
32	0.0	-1.0045807580127835	0.0	-5.181962410082609
33	0.0	-1.006223092669398	0.0	-5.190434119686312
34	0.0	-1.006223092669398	0.0	-5.190434119686312
35	0.0	-0.9871395361497302	0.0	-5.100220936773607
36	0.0	-0.9964750214199138	0.0	-5.1484542773362225
37	0.0	-0.49421130521251155	0.0	-2.55342507693131
38	0.0	0.6207888218431076	1.543079102898133	3.2074089128560566
